title	type	url_slug	venue	date	location	talk_url	description
High-dimensional Global Sensitivity Analysis	Minisymposium	talk-1	SIAM Conference on Applications of Dynamical Systems (DS23)	2023-05-14	Oregon, Portland	https://meetings.siam.org/sess/dsp_programsess.cfm?SESSIONCODE=75836
Overlapping Schwarz Decomposition in Continuous-Time	Research Poster	poster-1	UChicago CAM/Stats Student Research Poster Day	2025-05-20	Chicago, Illinois	https://cam.uchicago.edu/news/article/2025-student-research-poster-day/
Reduced-Order Physics-DL Model for Power Systems	Talk	talk-2	Argonne Summer Student Symposium	2023-08-05	Lemont, Illinois
